STATUS,GTIN_14,GTIN_12_UPC,PACKAGING_TYPE,PACKAGING_LEVEL,PRODUCT_DESCRIPTION,SKU
In Use,00810008125779,810008125779,Regular,Each,"Freedom All Poly Tibial CR, Size C4, 09mm",ALCRXC409-K
In Use,00810008125786,810008125786,Regular,Each,"Freedom All Poly Tibial CR, Size C4, 11mm",ALCRXC411-K
In Use,00810008125793,810008125793,Regular,Each,"Freedom All Poly Tibial CR, Size C4, 14mm",ALCRXC414-K
In Use,00810008125809,810008125809,Regular,Each,"Freedom All Poly Tibial CR, Size C4, 17mm",ALCRXC417-K
In Use,00811767022866,811767022866,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D2 9mm",ALCRXD209-K
In Use,00811767022873,811767022873,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D2 11mm",ALCRXD211-K
In Use,00811767022880,811767022880,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D2 14mm",ALCRXD214-K
In Use,00811767022897,811767022897,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D2 17mm",ALCRXD217-K
In Use,00811767022903,811767022903,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D2 20mm",ALCRXD220-K
In Use,00811767022910,811767022910,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D3 9mm",ALCRXD309-K
In Use,00811767022927,811767022927,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D3 11mm",ALCRXD311-K
In Use,00811767022934,811767022934,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D3 14mm",ALCRXD314-K
In Use,00811767022941,811767022941,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D3 17mm",ALCRXD317-K
In Use,00811767022958,811767022958,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D3 20mm",ALCRXD320-K
In Use,00811767022965,811767022965,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D4 9mm",ALCRXD409-K
In Use,00811767022972,811767022972,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D4 11mm",ALCRXD411-K
In Use,00811767022989,811767022989,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D4 14mm",ALCRXD414-K
In Use,00811767022996,811767022996,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D4 17mm",ALCRXD417-K
In Use,00811767023009,811767023009,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size D4 20mm",ALCRXD420-K
